flow	speed
499.995408	64.6
363.633024	62.9
386.360088	62.9
318.178896	61.1
159.089448	64
420.450684	63.4
363.633024	58.8
352.269492	57
579.540132	60.9
374.996556	60.9
363.633024	57.2
352.269492	58.6
363.633024	64.2
602.267196	60.7
511.35894	62.3
374.996556	60.9
727.266048	64.6
249.997704	62.8
522.722472	60.7
352.269492	62.1
477.268344	61.6
204.543576	62.4
306.815364	59.1
477.268344	62.8
499.995408	63.8
613.630728	59.9
488.631876	61.5
363.633024	58.7
420.450684	58.8
772.720176	61.4
590.903664	62.1
420.450684	62.6
624.99426	62.6
670.448388	63.6
715.902516	60.7
920.446093	58.8
477.268344	65
465.904812	62.5
318.178896	61.4
897.719029	60.7
579.540132	61.6
386.360088	62.1
749.993112	64.3
613.630728	57.9
670.448388	59.4
624.99426	62.1
681.81192	63.5
806.810772	61.4
568.1766	60.3
829.537836	57.8
761.356644	64.2
522.722472	62.9
818.174304	63
852.264901	61.1
681.81192	63.2
715.902516	64.3
920.446093	63.2
784.083708	62.4
749.993112	63.4
738.62958	58.7
738.62958	58.9
749.993112	59.5
602.267196	61.2
897.719029	63.1
909.082561	63.9
738.62958	63.9
749.993112	64.1
681.81192	60.8
909.082561	60.6
749.993112	61.6
943.173157	63.4
840.901368	62.4
681.81192	62
988.627285	64.2
568.1766	61.9
931.809625	61.4
931.809625	62
772.720176	64
840.901368	62.8
886.355497	59.8
1034.081413	60.7
818.174304	61
840.901368	59.5
852.264901	63.2
886.355497	62.8
749.993112	66.2
999.990817	63.4
1272.715585	57
806.810772	61
772.720176	63.3
954.536689	60.5
840.901368	62.2
1045.444945	60.4
1011.354349	58.8
704.538984	62.3
761.356644	61.5
829.537836	57.9
988.627285	62.8
1147.716733	60.7
999.990817	60.1
1022.717881	61.1
931.809625	62.6
1068.172009	63.1
534.086004	63.2
1136.353201	61.2
1170.443797	60
818.174304	59.9
954.536689	62.8
1124.989669	62.3
806.810772	63.6
931.809625	61.4
840.901368	58.7
840.901368	62.3
1045.444945	57.1
784.083708	64
886.355497	61.6
704.538984	59.2
1147.716733	60.7
943.173157	61.3
965.900221	51.6
1204.534393	61.6
1011.354349	61
829.537836	61.1
1272.715585	59.2
829.537836	61.6
1056.808477	58.8
670.448388	59.4
1045.444945	60.1
965.900221	60.1
965.900221	57.5
1068.172009	62
1386.350905	59.3
806.810772	61.5
1113.626137	59
1420.441501	53.8
988.627285	60
806.810772	60.5
1068.172009	62.2
1318.169713	62.2
1238.624989	60.2
1090.899073	61.4
1204.534393	61.3
965.900221	60.7
1147.716733	60.3
1170.443797	60.8
874.991965	64.6
1045.444945	59
1090.899073	62.3
920.446093	61.6
977.263753	61.2
1136.353201	60.8
1340.896777	61.3
1272.715585	61.1
1284.079117	60.6
1272.715585	55.7
1227.261457	59.1
1579.530949	60.1
920.446093	59.8
1295.442649	60.5
818.174304	59.3
1136.353201	59.7
1113.626137	59.1
1295.442649	61
1363.623841	56.3
1340.896777	60.3
1261.352053	60.7
1249.988521	60.2
1477.259161	59.1
1136.353201	61.2
1545.440353	61.4
1079.535541	61.1
1340.896777	60.2
1431.805033	61.3
1147.716733	61.9
1431.805033	59.3
1477.259161	59.2
1636.348609	60.7
1409.077969	56.1
840.901368	62.2
1965.891037	56.7
1193.170861	58.8
954.536689	60.3
1522.713289	61.6
1170.443797	61.5
1420.441501	59.1
1363.623841	58.9
1397.714437	60.3
999.990817	58.7
1318.169713	58.5
1636.348609	61.8
1806.801589	61
1136.353201	60.6
1409.077969	59.6
1261.352053	61.1
1329.533245	60.4
1727.256865	57.1
1261.352053	59.7
1602.258013	57.7
1363.623841	60.6
1284.079117	57.7
1579.530949	57.2
1545.440353	56.4
1181.807329	57.4
1352.260309	55.7
1693.166269	55.2
1727.256865	55.6
1818.165121	57.7
1420.441501	56
1284.079117	60.2
1681.802737	56.5
